Genero;Idade;Estado civil;Grau de escolaridade;Situação profissional:;Caso se aplique. indique. por favor. a principal área da sua formação:;Se é estudante do Ensino Superior. que ciclo de estudos frequenta?;Como classifica a sua saúde em geral?;Numa escala política da esquerda para a direita. indique sua posição pessoal. Por favor. considere a escala de 1 (totalmente de esquerda) a 10 (totalmente de direita):;CRIT1;CRIT2;CRIT3;CRIT4;CRIT5;CRIT6;CRIT7;CRIT8;CRIT9;CRIT10;CRIT11;CRIT12;CRIT13;CRIT14;CRIT15;CRIT16;CRIT17;CRIT18;CRIT19;" [V1.	Ele(a) acredita que deve mostrar sempre respeito pelos seus pais e pelos mais velhos. Para ele(a) é importante ser obediente.]";" [V2.	As crenças religiosas são importantes para ele(a). Ele(a) esforça-se bastante para fazer o que a sua religião exige.]";" [V3.	É muito importante para ele(a) ajudar as pessoas ao seu redor. Ele(a) quer cuidar do bem-estar delas.]";" [V4.	Ele(a) pensa que é importante que cada pessoa no mundo seja tratada de forma igual. Ele(a) acredita que todos devem ter as mesmas oportunidades na vida.]";" [V5.	Ele(a) pensa que é importante ser interessado pelas coisas. Ele(a) gosta de ser curioso(a) e de tentar entender todo tipo de coisas.]";" [V6.	Ele(a) gosta de correr riscos. Ele(a) anda sempre à procura de aventuras.]";" [V7.	Ele(a) procura qualquer oportunidade que pode para se divertir. É importante para ele(a) fazer coisas que lhe deem prazer.]";" [V8.	Ser bem sucedido(a) na vida é importante para ele(a). Ele(a) esforça-se para fazer melhor do que os outros.]";" [V9.	Ele(a) quer ser sempre aquele(a) que toma as decisões. Ele(a) gosta de ser o/a líder.]";" [V10.	É importante para ele(a) que as coisas estejam organizadas e limpas. Ele(a) não gosta mesmo que as coisas estejam desarrumadas.]";" [V11.	É importante para ele(a) comportar-se sempre de forma adequada. Ele(a) quer evitar fazer alguma coisa que as pessoas possam dizer que é errado.]";" [V12.	Ele(a) pensa que é melhor fazer as coisas de acordo com as tradições. É importante para ele(a) manter os costumes que aprendeu.]";" [V13.	É importante para ele(a) atender às necessidades dos outros. Ele(a) tenta apoiar aqueles que conhece.]";" [V14.	Ele(a) acredita que todas as pessoas de todo mundo deviam viver em harmonia. Promover a paz entre todos os grupos no mundo é importante para ele(a).]";" [V15.	Pensar em ideias novas e ser criativo é importante para ele(a). Ele(a) gosta de fazer coisas de uma forma original e única.]";" [V16.	Ele(a) pensa que é importante fazer muitas coisas diferentes na vida. Ele(a) anda sempre à procura de coisas novas para experimentar.]";" [V17.	Ele(a) quer mesmo gozar a vida. Passar bons momentos é muito importante para ele(a).]";" [V18.	Ser muito bem sucedido(a) é importante para ele(a). Ele(a) gosta de impressionar as outras pessoas.]";" [V19.	É importante para ele(a) ser quem manda e dizer aos outros o que fazer. Ele(a) quer que as pessoas façam o que ele(a) diz.]";" [V20.	Ter um governo estável é importante para ele(a). Ele(a) está preocupado/interessado que a ordem social seja protegida.]";DECISÃO1;DECISÃO2;DECISÃO3;DECISÃO4;DECISÃO5;DECISÃO6;DECISÃO7;DECISÃO8;DECISÃO9;DECISÃO10;DECISÃO11;DECISÃO12;DECISÃO13;DECISÃO14;DECISÃO15;DECISÃO16;DECISÃO17;DECISÃO18;DECISÃO19;DECISÃO20; [ED1. As decisões que tomo exigem um pensamento cuidado]; [ED2. Eu normalmente procrastino quando tenho de tomar uma decisão importante]; [ED3. Quando tomo uma decisão. eu tendo a confiar na minha intuição]; [ED4. Eu habitualmente tomo decisões no calor do momento]; [ED5. Eu baseio-me nos conselhos de outras pessoas na tomada de decisões importantes]; [ED6. Eu adio a tomada de uma decisão sempre que possível]; [ED7. Eu baseio-me nos meus instintos quando tomo uma decisão]; [ED8. Eu considero várias opções quando tomo uma decisão]; [ED9. Eu normalmente necessito da ajuda de outras pessoas para tomar decisões importantes]; [ED10. Eu geralmente tomo decisões de forma instantânea];Idade_Gerações;Escolaridade;V_Conformismo;V_Tradição;V_Benevolência;V_Universalismo;V_Autorregulação;V_Estimulação;V_Hedonismo;V_Sucesso;V_Poder;V_Segurança;Vagreg_Conservação;Vagreg_Média_Conservação;Vagreg_Autotrascendência;Vagreg_Média_Autotranscendência;Vagreg_Autovalorização;Vagreg_Média_Autovalorização;Vagreg_Abertura_Mudança;Vagreg_Média_Abertura_Mudança;ED_Espontâneo;ED_Intuitivo;ED_Dependente;ED_Evitante;ED_Racional
1;53;3;6;1;3;;4;3;4;4;2;2;2;4;4;4;5;4;4;4;4;4;4;4;1;2;5;5;1;5;3;5;1;6;3;3;6;6;5;5;4;5;3;6;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;3;3;3;4;3;3;2;3;3;5.5;3;5;3.5;5;2;6;4;3;5.5;14;4.666666667;8.5;4.25;7;3.5;13;4.333333333;2.5;4;3;3.5;3.5
1;53;2;5;1;6;;4;3;3;5;2;2;2;2;2;3;4;2;3;3;2;3;3;2;1;5;5;6;4;5;6;4;1;1;2;1;4;4;4;4;6;3;2;1;1;1;3;5;5;5;5;2;5;2;5;5;5;5;5;5;5;5;5;4;2;2;5;5;4;4;3;2;3;4;4;3;1;3;3;5;4;4.5;6;3.5;1.5;1;1.5;1;3.5;12.5;4.166666667;10.5;5.25;2.5;1.25;6;2;2;4;2.5;3.5;4.5
0;65;2;4;1;6;;4;6;3;5;2;2;2;3;2;3;4;4;2;4;3;3;4;5;2;4;4;5;3;5;5;5;5;5;5;4;4;4;3;5;5;5;4;5;4;3;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;3;2;3;2;2;4;5;1;4;2;4.5;3;5;5;5;4.5;5;4.5;3.5;5;12.5;4.166666667;10;5;8;4;14.5;4.833333333;1.5;2.5;4;2.5;4
1;26;1;7;1;1;2;5;8;3;4;2;1;2;2;2;3;4;4;2;2;2;2;2;2;4;1;5;5;1;5;6;6;5;5;5;4;6;5;4;5;5;4;4;5;4;4;5;4;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;2;3;2;4;4;3;2;1;3;5;2.5;5;5.5;5;4.5;5;4.5;4;5.5;13;4.333333333;10.5;5.25;8.5;4.25;14.5;4.833333333;2;4;3;3;3.5
1;59;2;6;1;3;;4;6;4;2;1;2;2;2;2;2;5;1;2;2;2;2;4;2;2;4;4;2;1;5;6;6;2;6;3;2;4;1;4;5;5;4;5;5;3;4;5;5;5;4;4;3;4;3;5;5;5;5;5;4;5;5;5;4;4;3;3;5;1;4;1;4;2;2;5;2;1;3;3;1.5;2.5;5;5.5;5;3.5;5.5;3;3;4.5;8.5;2.833333333;10.5;5.25;6;3;14;4.666666667;1;3;3;1.5;5
1;65;2;6;5;6;;4;6;1;2;1;1;1;1;1;4;5;5;2;5;4;5;1;1;1;5;5;6;2;5;6;5;1;6;4;2;6;6;5;6;6;5;2;5;3;1;6;5;5;4;5;5;4;5;5;5;5;4;4;5;5;5;5;5;4;4;4;4;4;4;2;3;2;4;3;4;1;4;3;6;3.5;5.5;6;5;1.5;5.5;3.5;1.5;6;15.5;5.166666667;11.5;5.75;5;2.5;12;4;1.5;4;3.5;3;3.5
0;66;1;4;5;1;;3;5;5;4;4;4;4;4;4;4;4;4;4;3;2;2;1;2;1;2;5;6;5;6;6;6;4;4;6;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;3;3;4;2;5;4.5;5;5;5;4;4;5;4;4;13.5;4.5;10;5;9;4.5;13;4.333333333;3.5;4;3.5;4;4
1;31;2;7;1;3;;4;7;1;2;1;2;2;3;3;4;4;2;2;2;4;4;3;3;1;3;4;5;3;5;5;5;2;4;5;4;6;5;4;5;5;5;4;5;5;3;5;5;5;4;5;4;4;1;5;5;5;5;5;5;4;5;5;4;4;4;4;5;2;4;2;4;2;4;4;3;2;2;3;5;3.5;5;5;5;3;4.5;5;3.5;5.5;14;4.666666667;10;5;8.5;4.25;12.5;4.166666667;2;4;3.5;2;4.5
0;67;2;4;5;6;;3;9;5;5;1;3;3;4;1;3;5;4;1;2;1;1;2;4;1;5;5;6;4;6;6;5;3;4;3;3;6;4;5;4;6;6;5;6;3;3;6;4;4;3;3;3;3;2;3;3;4;4;3;2;2;2;3;5;3;4;3;3;4;4;3;2;5;3;4;1;3;4;2;5;4.5;5;6;5.5;4;5;3;3;6;15.5;5.166666667;11;5.5;6;3;14.5;4.833333333;3;3.5;1.5;4.5;3.5
1;65;1;7;1;3;;3;4;5;2;1;2;1;2;3;4;2;2;2;2;2;2;2;5;1;2;4;2;1;5;5;5;4;3;4;4;4;4;4;4;5;5;4;3;2;2;3;5;4;3;3;3;4;3;4;3;5;5;3;4;3;5;3;3;3;3;3;4;2;4;2;3;1;2;4;4;1;4;3;3;2.5;4.5;5;5;4;3;3;3;3.5;9;3;9.5;4.75;6;3;12;4;1.5;3;3.5;1.5;4
0;71;2;6;5;3;;3;1;3;3;3;4;4;4;4;4;5;4;4;4;3;4;4;2;2;4;5;3;6;4;5;5;3;2;2;2;6;5;4;6;6;5;3;2;3;2;2;5;5;5;3;3;4;5;5;5;5;3;5;5;5;5;5;4;3;3;5;5;2;4;3;3;2;3;4;3;1;4;3;4;5;5;5.5;5;3;2;2.5;2;4;13;4.333333333;10.5;5.25;4.5;2.25;10;3.333333333;2;3.5;3;2;4.5
1;37;1;4;1;6;;4;3;4;4;2;2;2;3;3;4;4;3;3;3;2;3;3;4;2;5;5;4;2;5;4;4;3;4;3;1;3;4;2;6;6;5;3;5;4;1;6;4;4;4;3;4;4;4;4;3;4;4;2;4;4;4;3;4;3;3;4;4;4;4;2;3;4;4;4;3;2;2;2;4;2;5.5;5;4.5;3;4.5;3.5;1;4.5;10.5;3.5;10.5;5.25;4.5;2.25;12;4;2;4;3;4;4
1;37;2;9;1;3;;5;5;5;3;1;1;2;4;2;4;1;2;2;2;2;4;4;1;1;3;5;5;4;6;6;6;2;5;4;5;5;6;5;6;6;5;4;5;4;2;5;4;4;3;3;3;4;4;4;4;4;4;3;4;3;4;3;4;3;2;3;5;2;4;2;3;2;4;5;2;2;2;4;5.5;4.5;6;6;5.5;3;5;4;3.5;5;15;5;12;6;7.5;3.75;13.5;4.5;2;4;2.5;2;5
1;40;2;6;1;3;;4;6;4;4;2;2;2;2;2;3;3;4;2;3;2;3;2;2;2;3;5;6;2;5;4;5;2;5;4;2;5;5;3;6;6;2;2;5;4;2;5;4;4;4;5;3;4;4;4;4;4;4;2;4;2;4;4;4;3;3;3;5;4;4;2;3;3;4;4;3;2;2;3;5.5;2.5;5.5;5;3.5;2;5;4;2;5;13;4.333333333;10.5;5.25;6;3;10.5;3.5;2;4;3;3.5;4.5
0;65;2;6;6;3;;4;2;4;3;2;2;3;3;4;3;2;4;3;2;3;3;4;3;1;5;5;5;1;5;6;5;3;4;3;4;4;4;3;4;5;4;3;4;3;2;6;4;4;4;3;3;4;4;4;3;3;4;3;4;3;3;3;3;3;3;4;4;3;4;3;3;3;3;4;4;2;4;3;4.5;2;4.5;5.5;4.5;3;4;3;3;5;11.5;3.833333333;10;5;6;3;11.5;3.833333333;2.5;3.5;3.5;3;4
1;65;2;6;1;3;;3;5;2;4;1;2;1;4;1;4;5;4;2;2;2;2;4;4;1;4;4;5;6;6;6;6;5;5;4;5;6;5;3;6;6;6;5;4;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;2;4;1;2;5;5;1;4;3;5;4.5;6;6;6;5;4.5;4.5;3.5;5.5;15;5;12;6;8;4;15.5;5.166666667;1.5;3.5;4.5;2.5;5
1;52;2;6;1;3;;3;5;5;5;1;1;1;5;1;5;5;5;1;5;3;5;1;1;1;5;5;1;1;6;6;6;1;6;6;6;3;3;1;6;6;6;6;6;6;1;1;5;5;3;4;4;3;3;5;5;5;3;5;3;5;3;2;2;2;2;2;3;3;5;5;5;1;5;3;1;5;3;3;2;1;6;6;6;3.5;6;6;3.5;2;5;1.666666667;12;6;9.5;4.75;15.5;5.166666667;5;5;3;2;3
1;25;1;7;1;3;;5;5;4;4;1;2;1;3;2;3;5;3;2;3;2;2;3;3;1;5;5;4;1;6;6;5;3;4;3;4;5;4;3;4;6;5;4;5;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;5;3;4;3;4;3;4;5;3;2;1;3;4;2;5;6;5;3.5;4.5;3.5;3;4.5;10.5;3.5;11;5.5;6.5;3.25;13;4.333333333;2.5;4;3.5;3;5
1;65;2;7;1;3;;3;5;5;4;1;1;1;1;1;4;4;2;2;2;2;2;2;2;2;4;4;5;2;5;5;5;2;3;3;3;4;4;3;4;4;2;2;3;3;4;5;5;5;3;5;4;4;4;4;4;4;4;3;4;3;4;4;3;4;3;3;4;3;2;2;3;2;4;4;4;2;4;3;4.5;2.5;4.5;4.5;3.5;2;3;3;3.5;4.5;11.5;3.833333333;9;4.5;6.5;3.25;8.5;2.833333333;2;3;3.5;2.5;4
1;63;4;8;1;3;;5;5;2;2;2;2;2;2;3;4;3;3;4;3;3;5;3;3;5;1;1;5;2;5;6;6;6;5;6;6;5;6;4;3;4;5;3;1;1;1;1;5;5;3;3;3;5;5;5;5;5;5;3;5;3;5;3;2;2;2;2;5;1;1;1;1;1;1;4;1;5;4;3;5.5;3;4;5;5.5;4.5;3;3.5;3.5;3;11.5;3.833333333;9;4.5;7;3.5;13;4.333333333;3;1;1;1;4.5
1;67;1;6;1;3;;2;7;5;5;2;3;3;5;3;3;4;3;3;3;3;4;4;4;1;5;3;4;1;5;5;5;3;3;3;2;1;3;4;5;5;3;4;3;3;3;3;4;4;3;4;3;4;4;4;4;4;4;4;3;3;4;5;5;5;3;4;4;3;4;2;3;3;4;4;4;3;4;3;3.5;2.5;5;5;4;3.5;3;3;2.5;2;8;2.666666667;10;5;5.5;2.75;10.5;3.5;2.5;4;3.5;3;4
1;65;1;6;1;3;;4;3;5;5;1;1;1;2;1;1;4;2;1;1;1;1;1;2;1;4;4;4;2;5;6;4;1;5;3;1;6;4;5;6;6;3;2;2;2;1;5;5;5;4;4;4;4;4;4;5;5;4;4;4;4;4;4;3;3;3;4;5;4;4;2;4;2;3;5;4;2;4;3;4;3.5;5.5;6;3.5;1.5;3.5;2.5;1;5.5;13;4.333333333;11.5;5.75;3.5;1.75;8.5;2.833333333;2;3.5;4;3;5
1;27;1;7;1;1;;5;7;5;5;1;1;1;1;1;3;4;1;3;3;1;1;1;1;3;1;5;5;1;5;5;5;3;6;5;4;4;5;4;5;5;2;3;4;5;4;4;3;5;3;3;3;3;4;3;4;3;4;2;3;2;2;2;2;2;2;2;4;4;2;2;3;3;3;5;4;2;1;3;5;2.5;5;5;3.5;3;5;5;4;4;11.5;3.833333333;10;5;9;4.5;11.5;3.833333333;2;2.5;3.5;3.5;4.5
1;53;2;4;1;6;;4;5;5;5;1;1;3;2;3;3;4;3;2;2;1;1;2;1;1;5;5;6;1;4;6;5;2;4;5;3;6;6;2;6;6;5;4;5;5;2;4;5;5;3;4;3;3;3;2;4;3;3;3;3;3;2;5;3;3;3;3;5;2;5;4;4;2;3;2;2;2;3;2;6;1.5;5;6;5;3;4.5;5;2.5;5;12.5;4.166666667;11;5.5;7.5;3.75;12.5;4.166666667;3;4;3;2;3.5
0;65;3;4;5;6;;4;9;4;5;1;1;1;2;1;2;4;4;1;2;4;2;1;3;1;4;4;6;4;6;5;5;4;5;4;4;4;5;5;5;6;4;4;5;4;4;5;5;5;4;5;4;4;1;2;5;5;2;5;1;4;2;5;5;4;2;4;5;4;3;2;3;1;2;3;2;1;4;2;5.5;4.5;5.5;5.5;4.5;4;5;4;4;4.5;14.5;4.833333333;11;5.5;8;4;13.5;4.5;1.5;2.5;2.5;2.5;4
1;64;3;6;1;3;;5;4;2;4;1;1;1;3;2;5;5;3;2;4;1;2;3;3;1;5;4;5;4;5;5;6;4;4;3;3;4;5;4;5;6;4;4;3;3;1;3;5;5;5;5;4;4;4;5;5;5;5;4;3;3;5;4;5;3;3;4;5;3;4;4;2;1;4;4;2;4;4;3;5;4;5;5.5;5;4;3.5;3;2;3.5;12.5;4.166666667;10.5;5.25;5;2.5;12.5;4.166666667;4;4;2;2;4.5
0;64;2;8;1;3;;4;6;1;5;1;1;1;1;1;1;4;2;1;1;1;3;4;4;1;4;5;5;3;2;3;3;2;3;6;4;6;5;5;4;5;6;5;3;5;2;2;4;5;4;3;4;3;3;3;5;4;4;4;2;4;3;3;3;3;3;3;5;3;4;2;4;3;3;4;4;2;4;3;5;4;3;4;4.5;3.5;3;5.5;3;4;13;4.333333333;7;3.5;8.5;4.25;11;3.666666667;2;3.5;4;3;4.5
1;65;2;6;1;3;;3;8;4;3;1;1;1;3;3;3;2;1;1;3;2;2;2;2;1;5;5;5;5;5;5;4;2;3;3;3;5;4;4;6;4;4;2;2;2;2;5;5;5;4;5;4;4;4;4;5;5;4;4;4;5;4;4;3;4;3;4;5;2;3;3;2;3;2;3;3;2;4;3;4.5;4.5;5.5;4.5;4;2;2.5;2.5;2.5;5;14;4.666666667;10;5;5;2.5;8.5;2.833333333;2.5;2.5;2.5;2.5;4
1;64;3;6;1;3;;5;6;2;4;4;4;1;1;1;5;5;1;1;1;1;1;1;1;1;5;5;4;5;6;6;6;1;5;6;4;6;6;5;6;6;3;3;6;4;4;6;5;5;4;5;4;3;5;3;5;5;3;5;5;5;3;5;3;3;3;5;5;5;4;3;3;2;2;5;5;1;4;3;5;5;6;6;4.5;2;5.5;5;4;6;16;5.333333333;12;6;9;4.5;12;4;2;3;4;3.5;5
0;28;2;5;1;6;1;5;5;5;4;1;1;1;1;4;3;5;4;3;4;1;2;1;3;1;3;3;6;4;5;6;6;2;5;6;5;3;3;3;6;6;6;4;5;6;6;6;5;5;3;3;3;3;5;3;5;5;3;3;5;3;3;3;5;3;3;3;5;4;4;4;4;4;3;5;3;3;1;3;4.5;3.5;5.5;6;6;3;5;6;5.5;4.5;12.5;4.166666667;11.5;5.75;11.5;5.75;14;4.666666667;3.5;3.5;3.5;4;5
1;64;3;6;1;3;;3;8;5;5;3;3;1;3;4;3;5;2;2;2;2;1;3;4;1;4;5;6;5;6;5;5;2;4;5;4;5;4;5;5;5;3;3;3;4;3;4;4;5;4;4;4;4;5;5;5;5;4;5;5;4;4;4;5;1;5;5;4;3;4;2;3;1;3;5;2;1;4;3;5;5;5.5;5;4;2.5;3.5;4.5;3.5;4.5;14.5;4.833333333;10.5;5.25;8;4;10;3.333333333;1.5;3.5;2.5;2;4.5
0;65;2;6;6;3;;4;4;5;5;1;1;1;1;5;5;1;1;1;4;3;5;5;1;1;5;5;4;4;5;6;6;2;3;5;5;6;4;5;6;5;4;4;6;5;4;5;5;5;5;3;5;5;5;5;5;5;5;2;5;2;5;5;3;3;3;5;5;1;5;2;4;1;4;5;4;1;4;3;4;4.5;5.5;5.5;5;3;4.5;5;4.5;5.5;14;4.666666667;11;5.5;9.5;4.75;12.5;4.166666667;1.5;4.5;4;1;5
1;65;4;8;1;3;;4;4;5;2;2;2;2;2;3;3;5;1;2;3;1;3;3;2;1;5;5;6;2;6;5;6;2;2;3;1;6;6;4;5;6;5;5;5;3;1;5;3;4;4;3;3;3;3;4;4;4;4;3;4;3;3;3;3;3;3;3;5;4;4;3;4;4;3;4;4;2;4;3;6;3;5.5;5.5;5.5;3.5;3.5;3;1;5.5;14.5;4.833333333;11;5.5;4;2;12.5;4.166666667;2.5;3.5;4;4;4.5
1;44;1;6;1;3;;3;5;4;3;2;1;1;1;1;2;3;1;1;2;3;2;1;1;1;1;5;3;1;5;5;5;3;4;4;3;6;4;3;4;6;5;4;5;4;3;5;4;4;3;3;3;3;3;3;4;4;3;3;3;3;3;4;3;3;3;3;4;3;4;3;3;3;2;4;4;2;2;3;3.5;2;4.5;5.5;5;3.5;4.5;4;3;5.5;11;3.666666667;10;5;7;3.5;13;4.333333333;2.5;3;3.5;3;4
1;51;2;6;1;3;1;3;5;5;5;1;1;1;1;1;4;1;4;1;4;1;3;1;1;1;4;5;4;3;5;6;5;2;3;1;1;5;5;2;5;5;2;2;2;2;2;5;4;5;4;3;3;4;3;4;4;4;4;5;3;4;4;3;5;3;2;3;5;4;4;1;3;1;3;4;2;1;3;3;4.5;2.5;5;5.5;3.5;2;2.5;1.5;1.5;5;12;4;10.5;5.25;3;1.5;8;2.666666667;1;3.5;2.5;2.5;4.5
1;40;2;6;1;3;;3;5;3;1;5;5;5;4;4;4;5;1;5;1;3;1;2;1;1;4;3;4;1;6;6;5;3;3;2;1;3;2;1;5;6;5;5;3;1;1;5;3;4;3;5;3;4;3;4;4;3;5;4;3;4;5;3;3;3;3;3;5;5;4;1;3;2;3;3;4;1;2;3;3;1;5.5;6;5;4;3;1.5;1;4;8;2.666666667;11.5;5.75;2.5;1.25;12;4;1;3.5;3.5;3.5;4
0;68;2;6;5;3;;2;8;5;5;1;1;1;4;2;2;2;2;2;2;2;2;2;1;2;2;5;4;1;4;6;5;3;4;5;3;6;4;2;5;6;4;2;4;4;1;6;4;5;4;4;4;5;4;4;5;5;5;4;4;4;4;4;4;4;4;4;5;2;4;2;3;2;3;4;3;2;4;3;4;1.5;4.5;6;4.5;2.5;4;4.5;2;6;11.5;3.833333333;10.5;5.25;6.5;3.25;11;3.666666667;2;3.5;3;2;4.5
1;51;3;6;1;3;;5;5;5;5;2;2;1;2;4;4;5;2;2;2;3;3;3;3;1;5;5;4;2;6;6;6;3;6;5;3;6;6;3;6;6;3;2;6;1;1;4;5;5;4;5;5;5;5;1;5;5;5;5;5;5;1;2;5;4;1;5;5;2;4;1;2;1;2;5;1;2;3;3;5;2.5;6;6;4.5;2.5;6;3;2;5;12.5;4.166666667;12;6;5;2.5;13;4.333333333;1.5;3;1.5;1.5;5
0;48;2;6;1;3;1;5;5;4;4;3;3;3;3;5;4;3;3;3;5;3;4;3;4;3;3;3;5;5;6;6;6;4;4;6;4;6;6;4;5;6;5;5;3;5;4;6;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;3;3;3;5;4;4;3;3;3;3;3;3;3;3;3;5.5;4.5;5.5;6;5.5;4.5;3.5;5.5;4;6;16;5.333333333;11.5;5.75;9.5;4.75;13.5;4.5;3;3.5;3;3.5;4
1;49;2;6;1;3;;4;1;5;5;1;1;1;1;1;1;5;2;2;2;2;2;2;2;1;3;5;4;1;6;6;5;1;2;5;5;5;5;2;3;5;3;3;2;3;2;3;5;5;3;4;5;4;3;4;4;5;5;5;3;3;3;2;2;2;2;2;5;2;2;2;4;2;2;4;2;2;3;3;4.5;1.5;4.5;5.5;4;2;2;4;3.5;4;10;3.333333333;10;5;7.5;3.75;8;2.666666667;2;2;3;2;4.5
1;43;1;7;1;4;;3;5;5;3;1;3;3;3;2;2;5;5;2;2;1;3;4;4;1;2;5;6;1;6;5;5;1;2;4;2;6;5;4;5;5;4;1;1;2;1;4;5;5;5;1;1;1;1;1;4;5;4;4;2;2;5;5;5;2;2;5;5;2;3;1;2;2;2;4;3;1;2;3;5.5;2.5;5.5;5;4.5;1;1.5;3;1.5;5;13;4.333333333;10.5;5.25;4.5;2.25;7;2.333333333;1;2.5;2.5;2;4.5
0;64;2;6;1;3;;4;8;4;4;2;2;2;2;3;3;3;3;3;3;3;3;3;2;1;4;4;5;4;5;5;5;4;3;4;4;4;4;3;5;5;4;3;2;2;2;2;4;4;4;4;3;5;4;4;3;4;4;4;3;2;5;4;4;3;4;4;5;2;4;2;4;3;3;5;5;2;4;3;4.5;3.5;5;5;4.5;3.5;2.5;3;3;3;11;3.666666667;10;5;6;3;10.5;3.5;2;3.5;4.5;2.5;5
1;51;3;4;2;3;;4;10;5;3;5;3;3;4;3;5;5;5;3;5;3;5;3;3;1;3;5;6;5;6;6;4;1;3;1;2;6;5;3;6;6;4;4;6;3;1;2;5;5;4;3;4;4;4;4;4;4;4;4;1;2;5;1;5;2;3;3;4;4;3;1;1;3;1;5;3;5;3;2;5.5;4;6;6;4;2.5;4.5;2;1.5;4;13.5;4.5;12;6;3.5;1.75;11;3.666666667;3;2;2;3.5;4.5
1;55;2;6;1;2;;3;5;5;5;1;1;1;5;1;4;5;5;1;5;1;5;2;5;1;5;5;5;4;6;6;6;5;4;5;6;6;6;6;6;6;6;4;2;5;2;6;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;1;3;1;3;1;3;5;4;1;3;3;5.5;5;6;6;6;4.5;3;5;4;6;16.5;5.5;12;6;9;4.5;13.5;4.5;1;3;3.5;1;5
1;64;2;6;1;3;;5;5;3;4;3;3;3;2;4;4;5;3;3;3;3;4;4;4;1;4;5;4;2;6;6;5;1;3;3;3;6;6;3;6;6;4;3;3;3;3;3;4;4;4;4;3;5;5;5;3;4;5;4;4;4;4;4;2;3;3;4;5;2;4;2;3;2;3;5;2;3;4;3;5;2.5;6;6;4.5;2;3;3;3;4.5;12;4;12;6;6;3;9.5;3.166666667;2.5;3.5;2.5;2;5
0;67;2;6;5;3;;3;8;5;5;1;1;1;1;1;1;1;4;1;1;4;1;1;1;1;5;3;6;5;6;6;5;4;3;4;3;6;5;5;5;6;4;4;3;1;1;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;1;4;5;3;5;3;1;4;3;5.5;5;5.5;6;4.5;4;3;2.5;2;6;16.5;5.5;11.5;5.75;4.5;2.25;11.5;3.833333333;1;4;3.5;5;5
1;64;2;6;1;3;;3;5;2;4;3;3;3;3;2;4;2;2;2;2;4;4;4;4;1;5;4;4;3;5;4;3;1;4;3;3;5;4;3;5;3;4;3;3;2;1;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;3;5;5;4;3;1;2;2;2;5;3;2;4;3;4;3;5;3.5;3.5;2;3.5;2.5;2;4.5;11.5;3.833333333;8.5;4.25;4.5;2.25;9;3;1.5;2.5;2.5;3;5
0;65;3;6;6;3;;3;6;5;5;1;1;1;3;1;1;5;2;1;1;1;1;2;2;1;5;2;6;2;6;6;5;2;4;5;3;5;4;2;5;4;5;3;3;2;1;1;5;5;3;3;3;5;3;5;5;5;5;5;3;5;3;3;3;3;3;3;5;5;3;3;5;2;2;5;4;2;4;3;5;2;5.5;5;5;2.5;3.5;3.5;2;3;10;3.333333333;10.5;5.25;5.5;2.75;11;3.666666667;2.5;2.5;4.5;3.5;5
1;45;4;3;1;6;;4;5;5;5;1;1;1;3;1;5;5;4;1;5;1;1;1;1;1;1;5;1;1;6;6;6;5;5;5;5;6;3;1;3;4;6;5;4;4;4;4;5;5;3;5;3;3;3;5;5;5;5;3;4;3;5;3;3;3;3;3;5;3;5;3;1;1;3;5;1;2;3;1;2;1;4.5;5;6;5;4.5;4.5;4.5;5;8;2.666666667;9.5;4.75;9;4.5;15.5;5.166666667;2.5;4;1;2;5
1;38;1;6;1;4;;4;5;4;4;1;1;1;3;1;4;4;2;1;4;1;1;2;1;1;4;1;6;1;6;6;6;1;5;2;1;6;5;5;6;6;4;3;5;1;1;6;5;5;4;4;4;5;4;5;5;5;5;5;3;5;5;4;5;3;4;5;5;1;4;1;5;1;5;5;3;1;2;3;5.5;3;6;6;5;2;5;1.5;1;6;14.5;4.833333333;12;6;2.5;1.25;12;4;1;4.5;4;1;5
1;49;3;4;1;6;;4;5;4;5;1;1;3;4;2;2;3;5;3;2;2;1;2;1;1;1;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;2;3;3;3;3;3;3;3;3;3;3;9;3;6;3;6;3;9;3;5;5;5;5;5
